sample_nb,status,sample_type,pigment,ratio,sample_support,thickness_um,colour,year
BW1,aged,BW1,C.I. Acid Blue 104,1,wool,unknown,blue,2010’s
BW1-A,aged,BW1,C.I. Acid Blue 104,1,wool,unknown,blue,2010’s
BW1-D,dark,BW1,C.I. Acid Blue 104,1,wool,unknown,blue,2010’s
BW2,aged,BW2,C.I. Acid Blue 109,1,wool,unknown,blue,2010’s
BW2-A,aged,BW2,C.I. Acid Blue 109,1,wool,unknown,blue,2010’s
BW2-D,dark,BW2,C.I. Acid Blue 109,1,wool,unknown,blue,2010’s
BW3,aged,BW3,C.I. Acid Blue 83,1,wool,unknown,blue,2010’s
BW3-A,aged,BW3,C.I. Acid Blue 83,1,wool,unknown,blue,2010’s
BW3-D,dark,BW3,C.I. Acid Blue 83,1,wool,unknown,blue,2010’s
BW4,aged,BW4,C.I. Acid Blue 121,1,wool,unknown,blue,2010’s
BW4-A,aged,BW4,C.I. Acid Blue 121,1,wool,unknown,blue,2010’s
BW4-D,dark,BW4,C.I. Acid Blue 121,1,wool,unknown,blue,2010’s
BW5,aged,BW5,C.I. Acid Blue 47,1,wool,unknown,blue,2010’s
BW5-A,aged,BW5,C.I. Acid Blue 47,1,wool,unknown,blue,2010’s
BW5-D,dark,BW5,C.I. Acid Blue 47,1,wool,unknown,blue,2010’s
CAL09-M11,none,photograph,Fujicolor-chromogenic,1,crystal archive paper,unknown,magenta,2014-09-17 09:49
CAL09-C11,none,photograph,Fujicolor-chromogenic,1,crystal archive paper,unknown,cyan,2014-09-17 09:49
CAL09-Y11,none,photograph,Fujicolor-chromogenic,1,crystal archive paper,unknown,yellow,2014-09-17 09:49
